year,month,day,discharge
1994,2,25,10423.512
1994,2,26,8929.899
1994,2,27,7644.615
1994,2,28,6853.671
1994,3,1,6016.824
1994,3,2,5451.864
1994,3,3,5310.624
1994,3,4,6151.002
1994,3,5,5896.77
1994,3,6,6316.959
1994,3,7,5737.875
1994,3,8,5352.996
1994,3,9,4918.683
1994,3,10,4459.653
1994,3,11,4191.297
1994,3,12,4021.809
1994,3,13,3972.375
1994,3,14,3778.17
1994,3,15,3559.248
1994,3,16,3665.178
1994,3,17,3306.7815
1994,3,18,3442.725
1994,3,19,3201.5577
1994,3,20,2956.5063
1994,3,21,4502.025
1994,3,22,5190.57
1994,3,23,6076.851
1994,3,24,6952.539
1994,3,25,6931.353
1994,3,26,7026.69
1994,3,27,7047.876
1994,3,28,6843.078
1994,3,29,6641.811
1994,3,30,6359.331
1994,3,31,5889.708
1994,4,1,5522.484
1994,4,2,5335.341
1994,4,3,4975.179
1994,4,4,4735.071
1994,4,5,4494.963
1994,4,6,4258.386
1994,4,7,3979.437
1994,4,8,3982.968
1994,4,9,4021.809
1994,4,10,3891.162
1994,4,11,3749.922
1994,4,12,3626.337
1994,4,13,4699.761
1994,4,14,5134.074
1994,4,15,5465.988
1994,4,16,5476.581
1994,4,17,5187.039
1994,4,18,4816.284
1994,4,19,4530.273
1994,4,20,4148.925
1994,4,21,3824.073
1994,4,22,3732.267
1994,4,23,3448.0215
1994,4,24,3612.213
1994,4,25,3764.046
1994,4,26,9078.201
1994,4,27,11719.389
1994,4,28,13213.002
1994,4,29,16073.112
1994,4,30,16232.007
1994,5,1,16909.959
1994,5,2,15727.074
1994,5,3,14597.154
1994,5,4,12874.026
1994,5,5,11931.249
1994,5,6,10773.081
1994,5,7,9897.393
1994,5,8,9074.67
1994,5,9,8329.629
1994,5,10,7482.189
1994,5,11,7238.55
1994,5,12,7016.097
1994,5,13,6355.8
1994,5,14,5801.433
1994,5,15,5508.36
1994,5,16,5049.33
1994,5,17,4699.761
1994,5,18,4364.316
1994,5,19,3979.437
1994,5,20,3813.48
1994,5,21,3647.523
1994,5,22,3460.38
1994,5,23,3552.186
1994,5,24,3225.9216
1994,5,25,2967.4524
1994,5,26,3242.1642
1994,5,27,3151.0644
1994,5,28,3018.6519
1994,5,29,2915.8998
1994,5,30,2713.9266
1994,5,31,2553.9723
1994,6,1,2375.3037
1994,6,2,2235.8292
1994,6,3,2116.4814
1994,6,4,2043.3897
1994,6,5,2069.8722
1994,6,6,2069.166
